x y SNR unity_intensity star_mag mag_err
4154.994 3942.168 12 150.953 -- --
4266.504 3072.237 49 2365.009 16.028 0.004
5569.342 5094.005 28 764.8339 17.229 0.003
2832.085 3052.672 39 1497.317 16.532 0.002
2583.929 3112.669 54 2895.501 15.809 0.003
3386.937 2143.087 58 3331.06 15.674 0.003
2617.256 3584.873 33 1087.861 16.862 0.008
2422.594 3335.254 59 3502.264 15.601 0.003
4573.211 3630.799 51 2560.816 15.941 0.003
5387.375 3130.291 45 1992.723 16.212 0.003
5103.271 3165.011 37 1392.058 16.603 0.002
2508.447 3674.909 37 1374.065 16.617 0.003
2260.934 4722.408 29 837.7329 17.128 0.002
5967.241 4706.311 39 1525.218 16.479 0.005
5607.649 4754.92 44 1939.194 16.274 0.003
4433.081 4211.915 51 2568.385 15.937 0.002
5599.225 2708.816 27 727.1214 17.306 0.01
4724.806 4291.289 45 2034.58 16.239 0.014
4896.929 4842.321 31 963.6409 16.995 0.006
4091.563 4221.595 32 1044.285 16.921 0.003
3702.543 2768.829 31 984.0932 16.998 0.003
3905.325 4398.25 27 749.7856 17.277 0.003
4079.834 5876.879 27 722.9751 17.322 0.002
4546.654 4772.903 50 2541.527 15.943 0.001
2970.576 2764.452 0 -337.1441 15.566 0.004
3172.323 4459.513 48 2326.181 16.062 0.003
5017.378 3609.313 32 1005.633 16.972 0.004
4198.362 3999.994 45 2043.645 16.184 0.005
2557.923 4070.015 31 977.3387 16.99 0.004
3258.741 2012.701 33 1117.357 16.825 0.006
5024.237 3049.135 38 1459.875 16.561 0.005
5917.277 4141.897 33 1067.868 16.877 0.003
